date,nb_confirmes,nb_deces,nb_premiere_injection_vaccin,nb_deuxieme_injection_vaccin
2021/06/27,129,0,59316,51943
2021/06/28,129,0,59614,52528
2021/06/29,129,0,59943,53082
2021/06/30,129,0,60420,53904
2021/07/01,129,0,60420,53904
2021/07/02,129,0,60420,53904
2021/07/03,129,0,60420,53904
2021/07/04,129,0,60420,53904
2021/07/05,129,0,61019,54964
2021/07/06,129,0,61321,55299
2021/07/07,129,0,62006,55684
2021/07/08,129,0,62006,55684
2021/07/09,129,0,62762,56268
2021/07/10,129,0,62762,56268
2021/07/11,129,0,62006,55684
2021/07/12,129,0,63262,56525
2021/07/13,129,0,63649,56908
2021/07/14,129,0,63649,56908
2021/07/15,129,0,63960,57216
2021/07/16,129,0,63960,57216
2021/07/17,129,0,63960,57216
2021/07/18,129,0,63960,57216
2021/07/19,129,0,65306,58682
2021/07/20,131,0,65682,59042
2021/07/21,131,0,66159,59583
2021/07/22,131,0,66159,59583
2021/07/23,131,0,66620,59926
2021/07/24,131,0,66620,59926
2021/07/25,131,0,66620,59926
2021/07/26,133,0,66620,59926
2021/07/27,133,0,67314,60478
2021/07/28,133,0,67769,60827
2021/07/29,133,0,68052,61076
2021/07/30,134,0,68509,61569
2021/07/31,134,0,68509,61569
2021/08/01,134,0,68509,61569
2021/08/02,134,0,68942,62006
2021/08/03,134,0,69367,62343
2021/08/04,134,0,69821,62439
2021/08/05,134,0,70048,62775
2021/08/06,134,0,70773,63031
2021/08/07,134,0,70773,63031
2021/08/08,134,0,71135,63681
2021/08/09,134,0,71135,63681
2021/08/10,134,0,71757,64239
2021/08/11,134,0,72413,65011
2021/08/12,134,0,73212,65267
2021/08/13,134,0,73556,65466
2021/08/14,134,0,73556,65466
2021/08/15,134,0,73556,65466
2021/08/16,134,0,74154,65836
2021/08/17,134,0,74858,66178
2021/08/18,134,0,75647,66639
2021/08/19,134,0,76771,66902
2021/08/20,135,0,77705,67269
2021/08/21,135,0,77705,67269
2021/08/22,135,0,77705,67269
2021/08/23,135,0,78197,67651
2021/08/24,135,0,79056,68216
2021/08/25,135,0,79878,68729
2021/08/26,135,0,80691,68950
2021/08/27,136,0,80691,68950
2021/08/28,136,0,82172,69740
2021/08/29,136,0,82172,69740
2021/08/30,136,0,82891,70025
2021/08/31,136,0,83735,70616
2021/09/01,136,0,84527,71113
2021/09/02,136,0,84527,71113
2021/09/03,136,0,85610,72104
2021/09/04,136,0,85610,72104
2021/09/05,136,0,85610,72104
2021/09/06,139,0,86754,72505
2021/09/07,143,0,86754,72505
2021/09/08,202,0,90358,74056
2021/09/09,253,1,90358,74056
2021/09/10,253,1,97001,75534
2021/09/11,701,1,100429,75635
2021/09/12,957,1,101168,75645
2021/09/13,1286,4,106477,76222
2021/09/14,1348,4,106477,76222
2021/09/15,2460,7,116931,78091
2021/09/16,2843,14,120815,78637
2021/09/17,3401,16,125084,79213
2021/09/18,3531,22,127184,79455
2021/09/19,3603,25,127322,79462
2021/09/20,3603,25,130197,80106
2021/09/21,4396,33,130197,80106
2021/09/22,4727,49,135877,81936
2021/09/23,5282,57,138756,82520
2021/09/24,5805,62,139955,82558
2021/09/25,5959,72,141094,82641
2021/09/26,6185,83,141094,82641
2021/09/27,6379,93,143205,83851
2021/09/28,6838,101,145572,85296
2021/09/29,7176,114,148374,88079
2021/09/30,7428,119,150390,91902
2021/10/01,7619,129,152203,95981
2021/10/02,7932,142,152951,98488
2021/10/03,7987,150,153060,98491
2021/10/04,8142,157,154536,102814
2021/10/05,8506,165,156186,107332
2021/10/06,8656,177,156186,107332
